VideoName,BehaviorName,StartFrame,EndFrame,BehaviorType,DTW_distance,Fish0_avg_velocity,Fish1_avg_velocity,Fish0_min_velocity,Fish1_min_velocity,Fish0_max_velocity,Fish1_max_velocity,Fish0_movement_length,Fish1_movement_length,movement_length_differnece,Fish0_moving_direction_x,Fish0_moving_direction_y,Fish1_moving_direction_x,Fish1_moving_direction_y,same_direction_ratio,max_vector_angle,min_vector_angle,avg_vector_angle
1-22_2nd,normal,15523,15589,3,2764.86,19.94,11.09,7.07,1.0,42.01,26.0,1296.23,720.65,575.58,409,150,-170,82,0.11,180.0,0.0,139.77
1-22_2nd,normal,15628,15674,3,1333.7,23.33,11.71,9.22,0.0,50.57,28.43,1049.81,527.07,522.74,-417,-136,-231,222,0.28,180.0,0.0,109.08
1-22_2nd,normal,11305,11376,3,2436.03,22.39,16.89,2.24,6.0,40.61,35.06,1567.4,1182.49,384.91,1123,-289,582,102,0.54,177.71,3.24,83.16
1-22_2nd,normal,10855,10892,3,1439.49,21.23,22.15,3.0,3.61,36.24,64.33,764.26,797.56,-33.3,86,-119,238,-90,0.14,180.0,7.11,141.67
1-22_2nd,normal,10420,10505,3,2803.51,12.87,25.89,0.0,2.0,70.01,100.45,1081.32,2174.7,-1093.38,-580,34,286,-180,0.13,180.0,0.0,123.55
1-22_2nd,normal,10341,10389,3,2517.75,21.48,11.46,0.0,1.0,58.03,27.17,1009.67,538.84,470.83,-51,12,114,132,0.56,177.44,0.0,87.44
1-22_2nd,normal,9644,9689,3,3105.09,16.61,19.97,0.0,6.4,49.09,39.0,730.88,878.88,-148.0,36,25,-523,-53,0.22,178.85,1.15,131.43
1-22_2nd,normal,9041,9076,3,2656.59,28.07,17.03,7.0,8.0,51.24,42.44,954.31,579.17,375.14,-748,101,49,131,0.43,180.0,8.35,95.5
1-22_2nd,normal,10898,10958,3,2658.34,22.38,18.97,2.0,1.0,42.05,38.08,1320.71,1119.11,201.6,1028,-84,13,151,0.63,177.44,0.81,73.1
1-22_2nd,normal,15183,15225,3,2480.71,25.97,11.65,4.47,1.41,45.1,43.01,1064.96,477.57,587.39,367,-233,9,-56,0.95,63.44,0.0,22.81
1-22_2nd,normal,14801,14869,3,2084.91,18.02,18.82,2.0,5.83,48.26,39.82,1207.52,1260.74,-53.22,-73,59,200,62,0.16,180.0,0.0,135.51
1-22_2nd,normal,14507,14573,3,6794.11,11.1,19.01,0.0,2.83,28.18,37.34,721.3,1235.55,-514.25,-125,96,525,-338,0.52,180.0,0.0,80.42
1-22_2nd,normal,14390,14465,3,1567.51,18.62,24.33,2.83,0.0,43.17,50.8,1377.69,1800.1,-422.41,-79,-217,29,23,0.25,180.0,4.36,125.4
1-22_2nd,normal,12011,12114,3,2503.17,21.12,17.87,5.0,2.0,39.12,63.64,2153.74,1822.24,331.5,-91,132,304,68,0.5,180.0,1.15,91.31
1-22_2nd,normal,13577,13626,3,2435.0,7.69,18.88,0.0,0.0,16.0,48.51,369.27,906.05,-536.78,-112,62,-16,-198,0.49,180.0,1.81,89.52
1-22_2nd,normal,13200,13290,3,1719.69,15.24,17.75,0.0,1.0,39.29,45.01,1356.37,1579.58,-223.21,10,18,407,144,0.83,168.38,0.0,40.41
1-22_2nd,normal,12467,12508,3,4693.43,12.0,19.12,2.0,2.24,23.0,39.46,479.89,764.83,-284.94,24,84,-278,137,0.02,178.6,45.0,146.63
1-22_2nd,normal,12831,12964,3,2150.08,14.61,19.54,0.0,0.0,56.61,122.16,1928.84,2579.6,-650.76,148,38,145,12,0.56,180.0,0.0,76.98
1-22_2nd,normal,12549,12649,3,3719.81,15.21,17.62,1.0,2.0,29.15,39.05,1505.63,1744.57,-238.94,192,186,-146,58,0.41,180.0,0.81,99.61
1-22_2nd,normal,12766,12805,3,1654.53,16.22,15.97,0.0,3.0,37.66,32.25,616.24,606.7,9.54,-230,-32,559,73,0.23,180.0,10.3,125.54
1-22_2nd,normal,8649,8684,3,3145.44,17.86,31.14,2.0,7.0,34.37,60.21,607.17,1058.68,-451.51,-54,-24,-398,137,0.0,180.0,108.43,154.81
1-22_2nd,normal,7484,7545,3,2707.72,23.0,32.14,1.0,0.0,82.1,98.0,1380.14,1928.6,-548.46,-1071,-104,-51,-58,0.62,175.71,0.0,77.02
1-22_2nd,normal,11893,11942,3,2282.49,30.88,9.03,7.21,0.0,64.12,26.83,1482.2,433.57,1048.63,-69,-145,324,-87,0.27,178.85,0.0,114.36
1-22_2nd,normal,8670,8756,3,3019.73,16.76,18.16,0.0,3.0,42.72,41.01,1424.36,1543.3,-118.94,-146,-17,517,-2,0.2,180.0,1.15,129.6
