VideoName,BehaviorName,StartFrame,EndFrame,BehaviorType,DTW_distance,Fish0_avg_velocity,Fish1_avg_velocity,Fish0_min_velocity,Fish1_min_velocity,Fish0_max_velocity,Fish1_max_velocity,Fish0_movement_length,Fish1_movement_length,movement_length_differnece,Fish0_moving_direction_x,Fish0_moving_direction_y,Fish1_moving_direction_x,Fish1_moving_direction_y,same_direction_ratio,max_vector_angle,min_vector_angle,avg_vector_angle
1-22_2nd,chase,15150,15165,1,2167.57,51.09,23.92,16.64,11.18,77.9,49.52,715.25,334.94,380.31,-571,83,302,32,0.0,176.38,98.15,140.21
1-22_2nd,display,2790,2817,2,597.65,15.46,27.19,3.16,5.66,28.64,64.26,401.88,706.95,-305.07,-48,-64,-287,18,0.22,179.19,9.46,126.76
1-22_2nd,display,10060,10083,2,730.31,26.11,27.53,7.21,2.24,60.41,54.92,574.37,605.56,-31.19,-120,127,-96,28,0.04,178.6,89.42,147.54
1-22_2nd,display,9188,9255,2,1508.34,21.1,17.76,2.24,2.0,70.61,96.54,1392.52,1172.36,220.16,280,-147,-138,-58,0.25,180.0,0.0,116.03
1-22_2nd,display,1956,2010,2,601.87,23.78,17.65,7.62,1.0,78.39,49.24,1260.17,935.3,324.87,-510,32,-254,-1,0.24,177.31,0.0,114.42
1-22_2nd,display,1700,1758,2,964.25,28.01,10.53,3.61,2.83,98.86,32.25,1596.84,600.12,996.72,-245,-8,-185,121,0.57,180.0,6.33,83.36
1-22_2nd,display,1420,1495,2,679.09,13.71,16.51,1.41,1.41,81.3,65.62,1014.57,1221.47,-206.9,-75,78,128,-19,0.28,178.02,0.0,112.34
1-22_2nd,display,1215,1280,2,937.67,13.33,21.61,1.0,2.24,42.43,53.0,853.43,1383.26,-529.83,-290,23,-80,-159,0.45,178.85,2.43,98.13
1-22_2nd,display,850,905,2,568.02,19.11,17.24,1.0,1.0,71.57,66.71,1031.79,931.02,100.77,-32,47,21,-7,0.36,178.6,0.0,79.66
1-22_2nd,display,1794,1851,2,812.18,10.78,9.89,1.0,0.0,28.46,31.24,603.71,553.9,49.81,68,69,-114,-43,0.44,172.22,10.13,97.19
1-22_2nd,normal,11453,11525,3,1684.81,23.19,18.29,5.0,6.4,45.0,38.83,1646.51,1298.39,348.12,-513,176,43,-25,0.28,180.0,13.14,125.99
1-22_2nd,normal,15253,15294,3,1415.48,18.91,9.72,2.24,2.0,44.72,29.15,756.47,388.92,367.55,534,4,21,17,0.51,177.19,0.0,86.36
1-22_2nd,normal,15523,15589,3,2766.85,20.1,11.25,7.07,1.0,42.58,26.08,1306.44,731.13,575.31,410,151,-170,81,0.11,180.0,0.0,140.54
1-22_2nd,normal,15628,15674,3,1328.67,23.36,11.91,9.22,1.41,50.57,28.43,1051.25,535.77,515.48,-417,-136,-234,222,0.28,180.0,0.0,108.48
1-22_2nd,normal,11305,11376,3,2437.32,22.49,17.01,2.24,6.08,40.61,35.13,1574.54,1190.72,383.82,1123,-289,582,102,0.56,177.71,3.24,82.81
1-22_2nd,normal,10855,10892,3,1439.79,21.32,22.55,3.61,3.61,36.24,64.33,767.53,811.88,-44.35,86,-120,246,-90,0.19,178.85,11.93,139.91
1-22_2nd,normal,10420,10505,3,2805.17,15.18,26.83,1.41,5.1,84.12,100.45,1275.41,2253.76,-978.35,-580,34,286,-180,0.19,178.6,0.0,118.93
1-22_2nd,normal,10341,10389,3,2519.15,22.65,11.85,2.0,5.39,58.03,27.17,1064.48,557.04,507.44,-51,12,114,132,0.6,178.6,3.97,89.32
1-22_2nd,normal,9644,9689,3,3108.26,17.17,20.45,1.41,8.54,49.65,39.05,755.58,899.99,-144.41,36,20,-523,-53,0.2,178.85,4.05,130.74
1-22_2nd,normal,9041,9076,3,2659.83,28.52,17.2,9.22,8.25,51.24,42.44,969.56,584.68,384.88,-748,101,49,131,0.43,180.0,2.43,96.33
1-22_2nd,normal,10898,10958,3,2658.67,22.46,19.03,2.0,1.0,42.05,38.08,1325.09,1123.0,202.09,1028,-83,13,151,0.63,177.44,0.81,71.93
1-22_2nd,normal,15183,15225,3,2479.08,26.01,11.83,4.47,1.41,45.1,43.01,1066.39,484.94,581.45,367,-235,9,-56,1.0,69.79,0.81,23.88
1-22_2nd,normal,14801,14869,3,2085.21,18.05,18.95,2.0,9.9,48.26,39.82,1209.24,1269.69,-60.45,-73,59,200,61,0.19,180.0,4.8,135.04
1-22_2nd,normal,14507,14573,3,6791.21,11.62,19.07,1.0,2.83,28.18,37.34,755.35,1239.59,-484.24,-125,96,525,-338,0.52,180.0,0.0,77.57
1-22_2nd,normal,14390,14465,3,1570.23,18.74,25.12,2.83,4.24,43.17,50.8,1386.75,1858.92,-472.17,-79,-217,29,23,0.25,180.0,3.14,123.85
1-22_2nd,normal,12011,12114,3,2506.4,21.33,18.39,5.39,4.47,39.12,76.53,2176.03,1875.54,300.49,-91,132,304,68,0.51,180.0,1.15,90.08
1-22_2nd,normal,13577,13626,3,2434.78,8.49,19.01,2.0,0.0,18.97,48.51,407.62,912.34,-504.72,-112,62,-16,-198,0.43,180.0,0.0,86.78
1-22_2nd,normal,13200,13290,3,1721.39,15.41,18.21,1.0,1.41,39.29,45.28,1371.53,1620.97,-249.44,0,10,415,149,0.84,174.1,0.0,41.63
1-22_2nd,normal,12467,12508,3,4694.98,12.48,19.31,3.61,4.12,23.0,39.46,499.31,772.38,-273.07,24,84,-278,137,0.07,178.6,47.72,144.84
1-22_2nd,normal,12831,12964,3,2145.64,16.19,20.2,1.41,1.41,99.64,129.77,2136.66,2665.75,-529.09,148,38,145,12,0.58,180.0,0.0,77.37
1-22_2nd,normal,12549,12649,3,3725.48,15.69,17.7,2.24,2.0,29.27,39.05,1553.65,1752.26,-198.61,192,186,-147,58,0.47,180.0,0.0,96.36
1-22_2nd,normal,12766,12805,3,1654.51,16.33,16.05,1.0,3.0,37.66,32.25,620.65,609.81,10.84,-230,-32,562,73,0.28,180.0,10.3,124.48
1-22_2nd,normal,8649,8684,3,3145.83,18.05,31.16,2.83,7.0,34.37,60.21,613.65,1059.34,-445.69,-54,-24,-398,137,0.0,178.85,108.43,152.68
1-22_2nd,normal,7484,7545,3,2711.25,23.23,34.0,2.24,3.0,82.1,98.08,1393.76,2040.09,-646.33,-1071,-104,-51,-58,0.69,179.19,0.81,77.87
1-22_2nd,normal,11893,11942,3,2283.0,30.9,9.47,7.81,2.24,64.12,26.83,1483.18,454.74,1028.44,-69,-145,324,-87,0.37,178.85,1.62,111.63
1-22_2nd,normal,8670,8756,3,3018.92,16.91,18.24,3.16,3.61,45.61,41.01,1437.74,1550.57,-112.83,-146,-17,517,-2,0.2,178.85,1.15,128.31
